NAME_1;population
Aichi;7542415
Akita;959502
Aomori;1237984
Chiba;6284480
Ehime;1334841
Fukui;766863
Fukuoka;5135214
Fukushima;1833152
Gifu;1978742
Gunma;1939110
Hiroshima;2799702
Hokkaido;5224614
Hyogo;5465002
Ibaraki;2867004
Ishikawa;1132553
Iwate;1210534
Kagawa;950244
Kagoshima;1588256
Kanagawa;9237337
Kochi;691527
Kumamoto;1738301
Kyoto;2578087
Mie;1770254
Miyagi;2301996
Miyazaki;1069576
Nagano;2048011
Nagasaki;1312317
Nara;1324473
Niigata;2201272
Oita;1123852
Okayama;1888432
Okinawa;1467480
Osaka;8837685
Saga;811442
Saitama;7344765
Shiga;1413610
Shimane;671126
Shizuoka;3633202
Tochigi;1933146
Tokushima;719559
Tokyo;14047594
Tottori;553407
Toyama;1034846
Wakayama;922584
Yamagata;1068027
Yamaguchi;1342059
Yamanashi;808389
